,Instance,vCPU,ECU,Memory (GiB),Instance Storage (GB),Linux/UNIX Usage,Instance_prefix
29,m6g.xlarge,4,,16 GiB,EBS Only,0.154,m6g
206,i3.large,2,8,15.25 GiB,1 x 475 NVMe SSD,0.156,i3
11,t3.xlarge,4,Variable,16 GiB,EBS Only,0.1664,t3
177,r5dn.large,2,,16 GiB,1 x 75 NVMe SSD,0.167,r5dn
91,c5.xlarge,4,20,8 GiB,EBS Only,0.17,c5
46,m5a.xlarge,4,,16 GiB,EBS Only,0.172,m5a
25,t2.xlarge,4,Variable,16 GiB,EBS Only,0.1856,t2
199,z1d.large,2,12,16 GiB,1 x 75 NVMe SSD,0.186,z1d
100,c5d.xlarge,4,20,8 GiB,1 x 100 NVMe SSD,0.192,c5d
37,m5.xlarge,4,16,16 GiB,EBS Only,0.192,m5
116,c4.xlarge,4,16,7.5 GiB,EBS Only,0.199,c4
85,m4.xlarge,4,13,16 GiB,EBS Only,0.2,m4
3,a1.2xlarge,8,,16 GiB,EBS Only,0.204,a1
54,m5ad.xlarge,4,,16 GiB,1 x 150 NVMe SSD,0.206,m5ad
109,c5n.xlarge,4,20,10.5 GiB,EBS Only,0.216,c5n
155,r5a.xlarge,4,,32 GiB,EBS Only,0.226,r5a
213,i3en.large,2,10,16 GiB,1 x 1250 NVMe SSD,0.226,i3en
60,m5d.xlarge,4,16,16 GiB,1 x 150 NVMe SSD,0.226,m5d
77,m5n.xlarge,4,,16 GiB,EBS Only,0.238,m5n
146,r5.xlarge,4,19,32 GiB,EBS Only,0.252,r5
163,r5ad.xlarge,4,,32 GiB,1 x 150 NVMe SSD,0.262,r5ad
194,r4.xlarge,4,16,30.5 GiB,EBS Only,0.266,r4
69,m5dn.xlarge,4,,16 GiB,1 x 150 NVMe SSD,0.272,m5dn
169,r5d.xlarge,4,19,32 GiB,1 x 150 NVMe SSD,0.288,r5d
186,r5n.xlarge,4,,32 GiB,EBS Only,0.298,r5n
19,t3a.2xlarge,8,Variable,32 GiB,EBS Only,0.3008,t3a
30,m6g.2xlarge,8,,32 GiB,EBS Only,0.308,m6g
207,i3.xlarge,4,16,30.5 GiB,1 x 950 NVMe SSD,0.312,i3
12,t3.2xlarge,8,Variable,32 GiB,EBS Only,0.3328,t3
178,r5dn.xlarge,4,,32 GiB,1 x 150 NVMe SSD,0.334,r5dn
92,c5.2xlarge,8,39,16 GiB,EBS Only,0.34,c5
47,m5a.2xlarge,8,,32 GiB,EBS Only,0.344,m5a
232,inf1.xlarge,4,,8 GiB,EBS Only,0.368,inf1
26,t2.2xlarge,8,Variable,32 GiB,EBS Only,0.3712,t2
200,z1d.xlarge,4,23,32 GiB,1 x 150 NVMe SSD,0.372,z1d
38,m5.2xlarge,8,37,32 GiB,EBS Only,0.384,m5
101,c5d.2xlarge,8,39,16 GiB,1 x 200 NVMe SSD,0.384,c5d
117,c4.2xlarge,8,31,15 GiB,EBS Only,0.398,c4
86,m4.2xlarge,8,26,32 GiB,EBS Only,0.4,m4
5,a1.metal,16,,32 GiB,EBS Only,0.408,a1
4,a1.4xlarge,16,,32 GiB,EBS Only,0.408,a1
55,m5ad.2xlarge,8,,32 GiB,1 x 300 NVMe SSD,0.412,m5ad
110,c5n.2xlarge,8,39,21 GiB,EBS Only,0.432,c5n
61,m5d.2xlarge,8,37,32 GiB,1 x 300 NVMe SSD,0.452,m5d
156,r5a.2xlarge,8,,64 GiB,EBS Only,0.452,r5a
214,i3en.xlarge,4,,32 GiB,1 x 2500 NVMe SSD,0.452,i3en
221,h1.2xlarge,8,31,32 GiB,1 x 2000 HDD,0.468,h1
78,m5n.2xlarge,8,,32 GiB,EBS Only,0.476,m5n
147,r5.2xlarge,8,37,64 GiB,EBS Only,0.504,r5
164,r5ad.2xlarge,8,,64 GiB,1 x 300 NVMe SSD,0.524,r5ad
127,g4dn.xlarge,4,,16 GiB,125 GB NVMe SSD,0.526,g4dn
195,r4.2xlarge,8,31,61 GiB,EBS Only,0.532,r4
70,m5dn.2xlarge,8,,32 GiB,1 x 300 NVMe SSD,0.544,m5dn
170,r5d.2xlarge,8,37,64 GiB,1 x 300 NVMe SSD,0.576,r5d
